"","Model","Tag","Image","Model_Year","Cost","MPG_city","MPG_hw","Elec_hpkw","Elec_Range_miles","Make"
"1","VENUE","Urban Compact SUV","//s7d1.scene7.com/is/image/hyundai/2021-venue-denim-edition-denim-019:Browse?fmt=png-alpha",2021,18750,"City/33","Hwy/31",NA,NA,"Hyundai"
"2","KONA","Compact SUV","//s7d1.scene7.com/is/image/hyundai/2022-kona-ltd-cactus-fern-profile:Browse?fmt=png-alpha",2022,20950,"FWD 30 City/35","Hwy/32",NA,NA,"Hyundai"
"3","KONA Electric","Electric SUV","//s7d1.scene7.com/is/image/hyundai/2021-kona-ev-ult-galactic-gray-019:Browse?fmt=png-alpha",2021,37390,NA,NA,"201/150","258","Hyundai"
"4","TUCSON","Modern Compact SUV","//s7d1.scene7.com/is/image/hyundai/2022-tucson-limited-fwd-shimmering-silver-019:Browse?fmt=png-alpha",2022,24950,"FWD 26 City/33","Hwy/29",NA,NA,"Hyundai"
"5","TUCSON Hybrid","Modern Compact SUV","//s7d1.scene7.com/is/image/hyundai/2022-tucson-hybrid-limited-awd-deep-sea-019:Browse?fmt=png-alpha",2022,29050,"AWD 38 City/38","Hwy/38",NA,NA,"Hyundai"
"6","SANTA FE","5-passenger SUV","//s7d1.scene7.com/is/image/hyundai/2022-santa-fe-calligraphy-20-inch-quartz-white-019:Browse?fmt=png-alpha",2022,27200,"FWD 25 City/28","Hwy/26",NA,NA,"Hyundai"
"7","SANTA FE Hybrid","5-passenger Hybrid SUV","//s7d1.scene7.com/is/image/hyundai/2021-santa-fe-hev-limited-stellar-silver-019:Browse?fmt=png-alpha",2021,33650,"AWD 36 City/31","Hwy/34",NA,NA,"Hyundai"
"8","PALISADE","8-passenger SUV","//s7d1.scene7.com/is/image/hyundai/2021-palisade-profile-caligraphy-moonlight-cloud:Browse?fmt=png-alpha",2021,32675,"FWD 19 City/26","Hwy/22",NA,NA,"Hyundai"
"9","NEXO Fuel Cell","Hydrogen Fuel-cell SUV","//s7d1.scene7.com/is/image/hyundai/2021-nexo-limited-copper-metallic-profile:Browse?fmt=png-alpha",2021,58935,NA,NA,"161/120","380","Hyundai"
"10","ACCENT","Subcompact Sedan","//s7d1.scene7.com/is/image/hyundai/2021-accent-se-olympus-silver-019:Browse?fmt=png-alpha",2021,15395,"City/58","Hwy/61",NA,NA,"Hyundai"
"11","ELANTRA","Compact Sedan","//s7d1.scene7.com/is/image/hyundai/2022-elantra-ltd-portofino-gray-profile:Browse?fmt=png-alpha",2022,19850,"City/39","Hwy/33",NA,NA,"Hyundai"
"12","ELANTRA Hybrid","Compact Hybrid Sedan","//s7d1.scene7.com/is/image/hyundai/2021-elantra-hev-ltd-ceramic-white-profile-1-1:Browse?fmt=png-alpha",2021,23550,"City/43","Hwy/37",NA,NA,"Hyundai"
"13","SONATA","Midsize Sedan","//s7d1.scene7.com/is/image/hyundai/2021-sonata-ltd-stormy-sea-019:Browse?fmt=png-alpha",2021,23950,"City/56","Hwy/54",NA,NA,"Hyundai"
"14","SONATA Hybrid","Hybrid Sedan","//s7d1.scene7.com/is/image/hyundai/2021-sonata-hybrid-ltd-calypso-red-019:Browse?fmt=png-alpha",2021,27750,"City/38","Hwy/32",NA,NA,"Hyundai"
"15","IONIQ Hybrid","Hybrid Hatchback","//s7d1.scene7.com/is/image/hyundai/2021-ioniq-hev-ltd-scarlet-red-pearl-019-1:Browse?fmt=png-alpha",2021,23400,"City/54","Hwy/52",NA,NA,"Hyundai"
"16","IONIQ Plug-in Hybrid","Plug-in Hybrid Hatchback","//s7d1.scene7.com/is/image/hyundai/2020-ioniq-phev-ltd-summit-gray-019:Browse?fmt=png-alpha",2021,26700,"City/60","Hwy/59",NA,NA,"Hyundai"
"17","IONIQ Electric","Electric Hatchback","//s7d1.scene7.com/is/image/hyundai/2020-ioniq-ev-ltd-ceramic-white-019:Browse?fmt=png-alpha",2021,33245,NA,NA,"134/100","170","Hyundai"
"18","VELOSTER","3-door Hatchback","//s7d1.scene7.com/is/image/hyundai/2021-veloster-turbo-ult-sunset-orange-019:Browse?fmt=png-alpha",2021,18900,"City/33","Hwy/28",NA,NA,"Hyundai"
"19","VELOSTER N","High-performance Hatchback","//s7d1.scene7.com/is/image/hyundai/2021-veloster-n-performance-blue-019:Browse?fmt=png-alpha",2021,32250,"City/28","Hwy/25",NA,NA,"Hyundai"
